,AAL,AAPL,CVS,DAL,GOOGL,JNJ,LUV,MSFT,WFC
20150102,0.005220935344696143,-0.00951261937618253,-0.012563508749008245,-0.0002034918777644723,-0.002091477513313289,-0.00047810479998589006,0.008742794394493103,0.006673790812492308,-0.0021891711652278767
20150103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20150104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20150105,-0.0006492980569601237,-0.028171675205230673,-0.009884357452392578,-0.01667328596115114,-0.019054077863693175,-0.0069844132661819325,-0.024595994949340727,-0.009302771687507594,-0.02742230415344238
20150106,-0.015498964786529568,9.41377505661034e-05,0.0007433311641216189,-0.023573188781738308,-0.0246796083450318,-0.004913788735866564,-0.028337960243225102,-0.014571032524108851,-0.020864675045013437
20150107,-0.0005655879154801147,0.014022189378738448,0.018040932416915956,-0.0052943664789200096,-0.0029409256577491716,0.02207589864730819,0.00840326964855187,0.012705408334731993,0.005951191782951337
20150108,0.0122620117664336,0.03842226743698118,0.021265597343444798,0.02597405195236213,0.003484133780002452,0.007862844467163121,0.02647063016891482,0.0294181418418884,0.022137477397918603
20150109,-0.030562789440155114,0.0010725064575671794,-0.0005103914439679169,-0.02718401193618769,-0.012211127281188894,-0.01362900018692037,-0.02602701663970952,-0.008404999375343447,-0.016430263519287114
20150110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20150111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20150112,-0.04690507888793949,-0.02464067459106456,-0.007352953553199648,-0.0174916219711303,-0.007309299111366352,-0.003430537283420465,-0.01323837637901304,-0.01250257015228251,-0.0119588029384613
20150113,0.016538766622543388,0.00887879967689531,0.0004116105660796343,0.011941013336181694,0.009536051154136693,0.001721100211143467,0.005714179277420017,-0.005257732868194642,-0.003842400312423666
20150114,-0.019642665386199964,-0.003810543715953907,0.0009255073219536225,-0.02789107561111448,0.008230136036872837,-0.0072546976804732655,-0.025691535472869953,-0.008628927469253589,-0.011571958065032972
20150115,0.0,-0.027140283584594638,-0.0016439294815061567,-0.00573812663555151,-0.0037948375940323187,-0.014519104957580575,-0.013691899776458571,-0.010336331129074061,-0.010341439247131379
20150116,0.008095403313636673,-0.007770025730133079,0.016157325506210185,0.017535921335220417,0.012787580490112305,0.015123305320739577,0.014910075664520184,0.01671085834503172,0.018138765096664455
20150117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20150118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20150119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20150120,0.059024343490600595,0.02575710296630862,-0.00020265728235258074,0.0726440238952637,-0.0010091715306044247,-0.026432142257690416,0.033181300163269034,0.0032438123226166127,0.006971352100372252
20150121,0.017440723180770945,0.007634305953979625,0.011487292051315379,0.00020326433703288238,0.02049251317977907,0.006022318005561855,0.02549665927886946,-0.010131520032882757,0.0019231942296029647
20150122,0.03577414274215718,0.02601543188095068,0.007839183807373029,0.030906963348388716,0.03249516725540169,0.018253195285797164,0.08415022850036613,0.026350321769714302,0.03205370426177967
20150123,0.001798994541168275,0.0051601582765579135,0.0033905461430547845,-0.0027613294124604337,0.008654200434684789,-0.015034744739532369,0.009481645226478541,0.0010606362670662062,-0.009485023617744393
